timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,1,1642,year,Pascal calculator built,Pascal calculator built.,4,France,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,2,1801,year,Jacquard loom introduced,Jacquard loom introduced.,4,France,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,3,1837,year,Analytical Engine proposed,Analytical Engine proposed.,4,London,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,4,1843,year,Ada Lovelace writes notes,Ada Lovelace writes notes.,4,London,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,5,1890,year,Hollerith tabulator used,Hollerith tabulator used.,4,USA,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,6,1936,year,Turing machine described,Turing machine described.,4,Cambridge,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,7,1941,year,Z3 completed,Z3 completed.,4,Berlin,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,8,1946,year,ENIAC unveiled,ENIAC unveiled.,4,Pennsylvania,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,9,1947,year,Transistor invented,Transistor invented.,4,New Jersey,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,10,1951,year,UNIVAC delivered,UNIVAC delivered.,4,USA,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,11,1958,year,Integrated circuit invented,Integrated circuit invented.,4,Texas,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,12,1969,year,ARPANET begins,ARPANET begins.,4,USA,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,13,1971,year,Intel 4004 released,Intel 4004 released.,4,California,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,14,1975,year,Altair 8800 released,Altair 8800 released.,4,USA,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,15,1981,year,IBM PC launched,IBM PC launched.,4,USA,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,16,1984,year,Macintosh introduced,Macintosh introduced.,4,California,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,17,1991,year,World Wide Web opens,World Wide Web opens.,4,CERN,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,18,1998,year,Google founded,Google founded.,4,California,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,19,2007,year,iPhone released,iPhone released.,4,California,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the History of Computing,history-of-computing,Key milestones in computing history.,technology,20,2022,year,Generative AI expands,Generative AI expands.,4,Global,,Encyclopaedia Britannica,https://www.britannica.com/technology/computer,0.95,technology;computing;innovation
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,1,1950-06-25,day,North Korea invades south,North Korea invades south.,4,Korea,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,2,1950-06-28,day,Seoul falls,Seoul falls.,4,Seoul,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,3,1950-09-15,day,Inchon landing,Inchon landing.,4,Inchon,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,4,1950-09-28,day,Seoul retaken,Seoul retaken.,4,Seoul,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,5,1950-10,month,UN crosses 38th parallel,UN crosses 38th parallel.,4,Korea,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,6,1950-10,month,China enters war,China enters war.,4,Yalu,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,7,1950-11,month,Chosin Reservoir battle begins,Chosin Reservoir battle begins.,4,North Korea,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,8,1951-01,month,Seoul falls again,Seoul falls again.,4,Seoul,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,9,1951-03,month,Seoul recaptured,Seoul recaptured.,4,Seoul,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,10,1951-07,month,Armistice talks begin,Armistice talks begin.,4,Kaesong,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
Timeline of the Korean War,korean-war,Major military and diplomatic events of the Korean War.,war,11,1952,year,Air war intensifies,Air war intensifies.,4,Korea,,Encyclopaedia Britannica,https://www.britannica.com/event/Korean-War,0.95,war;korea;cold-war
