timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,1,330-05-11,day,Constantinople inaugurated,Constantine I formally dedicated Constantinople as the new imperial capital.,5,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,2,337,year,Death of Constantine I,The death of Constantine I left the empire to his sons and shaped the late Roman imperial succession.,4,Near Nicomedia,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,3,395,year,Permanent division of the Roman Empire,"After the death of Theodosius I, the eastern empire developed into what later became known as the Byzantine Empire.",5,Roman Empire,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,4,410,year,Sack of Rome shocks the empire,The Visigothic sack of Rome highlighted the growing centrality of the eastern imperial court.,3,Rome,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,5,476,year,Fall of the Western Roman Empire,The end of western imperial rule left the eastern emperor as the primary Roman sovereign.,5,Ravenna,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,6,527,year,Justinian I begins reign,Justinian I came to the throne and launched an ambitious program of reconquest and reform.,5,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,7,532,year,Nika Revolt suppressed,Justinian crushed a major uprising in Constantinople and restored imperial authority.,5,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,8,537,year,Hagia Sophia completed,The great church of Hagia Sophia was completed under Justinian.,5,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,9,565,year,Death of Justinian I,Justinian's death ended one of the most consequential reigns in Byzantine history.,4,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,10,610,year,Heraclius seizes the throne,Heraclius came to power during a severe imperial crisis.,4,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,11,626,year,Avars and Persians fail to take Constantinople,"The capital survived a major siege, preserving the empire during war with Persia.",5,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,12,632,year,Early Islamic expansion begins,The rise of Islam transformed the empire's strategic environment.,4,Eastern Mediterranean,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,13,674,year,First Arab siege of Constantinople begins,Umayyad forces began a prolonged effort to capture the Byzantine capital.,5,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,14,717,year,Second Arab siege of Constantinople begins,"The empire faced another major siege, this time by the Umayyads.",5,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,15,726,year,Iconoclasm begins under Leo III,Imperial religious policy shifted sharply with the beginning of Iconoclasm.,4,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,16,800,year,Charlemagne crowned emperor,The coronation challenged Byzantine claims to universal Roman legitimacy in the West.,3,Rome,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,17,843,year,Triumph of Orthodoxy restores icons,The restoration of icons ended the main phase of Byzantine Iconoclasm.,4,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,18,867,year,Basil I begins Macedonian dynasty,The accession of Basil I opened an era of political and cultural revival.,4,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,19,988,year,Baptism of Vladimir of Kyiv,The conversion of Kyivan Rus strengthened Byzantine religious and diplomatic influence.,4,Kyiv,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
