timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Suez Canal,suez-canal,"Major political, engineering, and geopolitical milestones in the history of the Suez Canal.",history,1,1798,year,Napoleon revives interest in a canal across Suez,French interest in linking the Mediterranean and Red seas returned during the Egyptian expedition.,3,Egypt,,Encyclopaedia Britannica,https://www.britannica.com/place/Suez-Canal,0.95,canal;egypt;trade
Timeline of the Suez Canal,suez-canal,"Major political, engineering, and geopolitical milestones in the history of the Suez Canal.",history,2,1847,year,Linant de Bellefonds advances canal planning,Technical planning for a modern canal gained momentum under European engineers.,3,Egypt,,Encyclopaedia Britannica,https://www.britannica.com/place/Suez-Canal,0.95,canal;egypt;trade
Timeline of the Suez Canal,suez-canal,"Major political, engineering, and geopolitical milestones in the history of the Suez Canal.",history,3,1854,year,Sa'id Pasha grants first concession to Lesseps,Ferdinand de Lesseps secured the right to organize a canal company.,5,Egypt,,Encyclopaedia Britannica,https://www.britannica.com/place/Suez-Canal,0.95,canal;egypt;trade
Timeline of the Suez Canal,suez-canal,"Major political, engineering, and geopolitical milestones in the history of the Suez Canal.",history,4,1856,year,Second concession clarifies canal project,The legal and organizational basis of the canal was expanded.,4,Egypt,,Encyclopaedia Britannica,https://www.britannica.com/place/Suez-Canal,0.95,canal;egypt;trade
Timeline of the Suez Canal,suez-canal,"Major political, engineering, and geopolitical milestones in the history of the Suez Canal.",history,5,1858,year,Suez Canal Company founded,The company responsible for building and managing the canal was formally created.,5,Paris,,Encyclopaedia Britannica,https://www.britannica.com/place/Suez-Canal,0.95,canal;egypt;trade
Timeline of the Suez Canal,suez-canal,"Major political, engineering, and geopolitical milestones in the history of the Suez Canal.",history,6,1859-04-25,day,Construction begins at Port Said,Work on the canal officially started.,5,Port Said,,Encyclopaedia Britannica,https://www.britannica.com/place/Suez-Canal,0.95,canal;egypt;trade
Timeline of the Suez Canal,suez-canal,"Major political, engineering, and geopolitical milestones in the history of the Suez Canal.",history,7,1862,year,Freshwater Canal works advance,Supporting waterworks improved labor and logistics for the main project.,3,Egypt,,Encyclopaedia Britannica,https://www.britannica.com/place/Suez-Canal,0.95,canal;egypt;trade
Timeline of the Suez Canal,suez-canal,"Major political, engineering, and geopolitical milestones in the history of the Suez Canal.",history,8,1863,year,Isma'il Pasha becomes khedival ruler,The change in leadership shaped the canal's later political setting.,3,Egypt,,Encyclopaedia Britannica,https://www.britannica.com/place/Suez-Canal,0.95,canal;egypt;trade
Timeline of the Suez Canal,suez-canal,"Major political, engineering, and geopolitical milestones in the history of the Suez Canal.",history,9,1867,year,Major excavation stage nears completion,Mechanical dredging accelerated progress on the waterway.,4,Egypt,,Encyclopaedia Britannica,https://www.britannica.com/place/Suez-Canal,0.95,canal;egypt;trade
Timeline of the Suez Canal,suez-canal,"Major political, engineering, and geopolitical milestones in the history of the Suez Canal.",history,10,1869-11-17,day,Suez Canal opens,The canal was formally inaugurated as a new maritime route between Europe and Asia.,5,Suez,,Encyclopaedia Britannica,https://www.britannica.com/place/Suez-Canal,0.95,canal;egypt;trade
