timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,1,1626,year,Dutch acquire Manhattan,Peter Minuit negotiates the purchase of Manhattan from Lenape inhabitants for the Dutch West India Company.,5,New Amsterdam,,Britannica,https://www.britannica.com/place/New-York-City,0.99,colonialism;new-york
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,2,1628,year,Fort Amsterdam expands,Dutch settlers strengthen Fort Amsterdam as the nucleus of New Amsterdam.,4,Manhattan,,Britannica,https://www.britannica.com/place/New-Amsterdam,0.98,colonialism;settlement
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,3,1653,year,New Amsterdam gains municipal status,The Dutch formally incorporate New Amsterdam as a city.,4,New Amsterdam,,Britannica,https://www.britannica.com/place/New-Amsterdam,0.98,colonialism;urbanization
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,4,1664,year,English seize New Amsterdam,English forces capture the colony and rename it New York.,5,New York,,Britannica,https://www.britannica.com/place/New-York-City,0.99,british-empire;new-york
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,5,1789,year,Washington inaugurated,George Washington takes office as the first U.S. president in New York City.,5,New York City,,National Archives,https://www.archives.gov/milestone-documents/president-george-washingtons-first-inaugural-address,0.99,united-states;government
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,6,1811,year,Commissioners' Plan adopted,New York adopts the Manhattan street grid plan.,5,Manhattan,,NYC Archives,https://www.nyc.gov/site/lpc/designations/commissioners-plan-1811.page,0.95,urbanization;infrastructure
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,7,1825,year,Erie Canal opens,The Erie Canal accelerates New York City's economic rise.,5,New York State,,Britannica,https://www.britannica.com/topic/Erie-Canal,0.98,trade;infrastructure
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,8,1883,year,Brooklyn Bridge opens,The bridge links Manhattan and Brooklyn.,5,New York City,,Britannica,https://www.britannica.com/topic/Brooklyn-Bridge,0.99,infrastructure;engineering
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,9,1898,year,Greater New York consolidated,The five boroughs are unified into modern New York City.,5,New York City,,Britannica,https://www.britannica.com/place/New-York-City,0.99,urbanization;government
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,10,1929,year,Wall Street Crash,The financial collapse begins in Manhattan and triggers the Great Depression.,5,New York City,,Federal Reserve History,https://www.federalreservehistory.org/essays/stock-market-crash-of-1929,0.98,finance;economy
