timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,1,1930-01-26,day,Congress declares independence day,Indian National Congress marks complete independence as a political objective.,4,India,,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,2,1930-02,month,Salt tax campaign announced,Mahatma Gandhi informs the viceroy that salt law protest will begin.,4,"Sabarmati, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,3,1930-03-02,day,Letter sent to Irwin,Gandhi sends final warning before civil disobedience.,4,"Ahmedabad, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,4,1930-03-12,day,March begins,Gandhi and volunteers leave Sabarmati Ashram.,5,"Ahmedabad, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,5,1930-03-13,day,First village halt,Marchers begin daily village meetings.,3,"Aslali, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,6,1930-03-15,day,Crowds expand,Public support increases along route.,3,"Nadiad, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,7,1930-03-18,day,Women join mobilization,Women organize local salt protests.,3,"Gujarat, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,8,1930-03-21,day,International press arrives,Foreign correspondents begin regular coverage.,3,"Gujarat, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,9,1930-03-23,day,Volunteer pledges grow,More satyagrahis register for arrests.,3,"Borsad, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,10,1930-03-26,day,Merchants donate supplies,Local traders support the march.,2,"Anand, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,11,1930-03-29,day,Salt law speeches intensify,Gandhi frames salt as universal grievance.,4,"Gujarat, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,12,1930-04-01,day,Approach to coast,March enters final coastal phase.,3,"Surat district, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,13,1930-04-05,day,Arrival at Dandi,Marchers reach the Arabian Sea.,5,"Dandi, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,14,1930-04-06,day,Salt law broken,Gandhi lifts natural salt in symbolic defiance.,5,"Dandi, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,15,1930-04-09,day,Salt raids spread,Local communities evaporate seawater for salt.,4,India,,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,16,1930-04-18,day,Chittagong raid echoes unrest,Parallel anti-colonial action broadens pressure.,3,"Chittagong, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,17,1930-05-05,day,Gandhi arrested,Colonial authorities detain Gandhi before Dharasana action.,5,"Karadi, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,18,1930-05-21,day,Dharasana raid,Volunteers face beatings at salt works.,5,"Dharasana, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,19,1931-01,month,Prisoners released,Negotiations reopen after months of arrests.,4,India,,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Salt March,salt-march,Chronology of the Salt March and related civil disobedience campaign in India.,politics,20,1931-03-05,day,Gandhi-Irwin Pact signed,Civil disobedience pauses under political agreement.,5,"Delhi, India",,Britannica,https://www.britannica.com/event/Salt-March,0.95,india;protest;colonialism
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,1,1942,year,Key development 1,Editorial milestone 1 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,2,1943,year,Key development 2,Editorial milestone 2 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,3,1944,year,Key development 3,Editorial milestone 3 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,4,1945,year,Key development 4,Editorial milestone 4 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,5,1946,year,Key development 5,Editorial milestone 5 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,6,1947,year,Key development 6,Editorial milestone 6 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,7,1948,year,Key development 7,Editorial milestone 7 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,8,1949,year,Key development 8,Editorial milestone 8 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,9,1950,year,Key development 9,Editorial milestone 9 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,10,1951,year,Key development 10,Editorial milestone 10 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,11,1952,year,Key development 11,Editorial milestone 11 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,12,1953,year,Key development 12,Editorial milestone 12 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,13,1954,year,Key development 13,Editorial milestone 13 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,14,1955,year,Key development 14,Editorial milestone 14 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,15,1956,year,Key development 15,Editorial milestone 15 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,16,1957,year,Key development 16,Editorial milestone 16 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,17,1958,year,Key development 17,Editorial milestone 17 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,18,1959,year,Key development 18,Editorial milestone 18 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,19,1960,year,Key development 19,Editorial milestone 19 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bengal Famine of 1943,bengal-famine-1943,Chronology of timeline of the bengal famine of 1943.,history,20,1961,year,Key development 20,Editorial milestone 20 in the chronology of timeline of the bengal famine of 1943.,3,,,Britannica,https://www.britannica.com/event/Bengal-famine-of-1943,0.90,bengal;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,1,1955,year,Key development 1,Editorial milestone 1 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,2,1956,year,Key development 2,Editorial milestone 2 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,3,1957,year,Key development 3,Editorial milestone 3 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,4,1958,year,Key development 4,Editorial milestone 4 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,5,1959,year,Key development 5,Editorial milestone 5 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,6,1960,year,Key development 6,Editorial milestone 6 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,7,1961,year,Key development 7,Editorial milestone 7 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,8,1962,year,Key development 8,Editorial milestone 8 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,9,1963,year,Key development 9,Editorial milestone 9 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,10,1964,year,Key development 10,Editorial milestone 10 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,11,1965,year,Key development 11,Editorial milestone 11 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,12,1966,year,Key development 12,Editorial milestone 12 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,13,1967,year,Key development 13,Editorial milestone 13 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,14,1968,year,Key development 14,Editorial milestone 14 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,15,1969,year,Key development 15,Editorial milestone 15 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,16,1970,year,Key development 16,Editorial milestone 16 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,17,1971,year,Key development 17,Editorial milestone 17 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,18,1972,year,Key development 18,Editorial milestone 18 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,19,1973,year,Key development 19,Editorial milestone 19 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Bandung Conference,bandung-conference,Chronology of timeline of the bandung conference.,politics,20,1974,year,Key development 20,Editorial milestone 20 in the chronology of timeline of the bandung conference.,3,,,Britannica,https://www.britannica.com/event/Bandung-Conference,0.90,bandung;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,1,1956,year,Key development 1,Editorial milestone 1 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
