timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the History of Railways,history-of-railways,"A timeline of major milestones in the development of railways, from early wagonways to high-speed and magnetic-levitation rail transport.",technology,1,c. 1550,approximate,Wooden wagonways spread in mining districts,"Early wooden wagonways begin to be used in Central European mining regions, creating a practical foundation for later rail transport.",2,Central Europe,,Encyclopaedia Britannica,https://www.britannica.com/technology/railroad,0.95,transport;industry
Timeline of the History of Railways,history-of-railways,"A timeline of major milestones in the development of railways, from early wagonways to high-speed and magnetic-levitation rail transport.",technology,2,1769,year,Cugnot builds a steam road vehicle,"Nicolas-Joseph Cugnot demonstrates a steam-powered vehicle, an important precursor in the broader history of mechanized transport.",2,France,,Encyclopaedia Britannica,https://www.britannica.com/technology/railroad,0.95,transport;engineering
Timeline of the History of Railways,history-of-railways,"A timeline of major milestones in the development of railways, from early wagonways to high-speed and magnetic-levitation rail transport.",technology,3,1804,year,Penydarren locomotive runs on rails,"Richard Trevithick's steam locomotive hauls iron and passengers at Penydarren, marking a landmark in locomotive development.",5,Wales,,Encyclopaedia Britannica,https://www.britannica.com/technology/railroad,0.95,railways;engineering
Timeline of the History of Railways,history-of-railways,"A timeline of major milestones in the development of railways, from early wagonways to high-speed and magnetic-levitation rail transport.",technology,4,1812,year,Salamanca enters commercial service,Matthew Murray's Salamanca begins work on the Middleton Railway and becomes one of the first commercially successful steam locomotives.,4,"Leeds, England",,Encyclopaedia Britannica,https://www.britannica.com/technology/railroad,0.95,railways;industry
Timeline of the History of Railways,history-of-railways,"A timeline of major milestones in the development of railways, from early wagonways to high-speed and magnetic-levitation rail transport.",technology,5,1825-09-27,day,Stockton and Darlington Railway opens,The Stockton and Darlington Railway opens and becomes the first public railway to use steam locomotives for freight and passenger traffic.,5,England,,Encyclopaedia Britannica,https://www.britannica.com/technology/railroad,0.95,railways;transport
Timeline of the History of Railways,history-of-railways,"A timeline of major milestones in the development of railways, from early wagonways to high-speed and magnetic-levitation rail transport.",technology,6,1829,year,Rocket wins the Rainhill Trials,George and Robert Stephenson's Rocket triumphs in the Rainhill Trials and helps establish the locomotive model for future railways.,5,"Rainhill, England",,Encyclopaedia Britannica,https://www.britannica.com/technology/railroad,0.95,railways;engineering
Timeline of the History of Railways,history-of-railways,"A timeline of major milestones in the development of railways, from early wagonways to high-speed and magnetic-levitation rail transport.",technology,7,1830-09-15,day,Liverpool and Manchester Railway opens,The Liverpool and Manchester Railway opens as the first fully scheduled intercity railway operated by steam locomotives.,5,England,,Encyclopaedia Britannica,https://www.britannica.com/technology/railroad,0.95,railways;transport
Timeline of the History of Railways,history-of-railways,"A timeline of major milestones in the development of railways, from early wagonways to high-speed and magnetic-levitation rail transport.",technology,8,1838,year,Great Western Railway reaches London and Bristol,"The Great Western Railway completes its main route between London and Bristol, expanding long-distance rail travel in Britain.",3,England,,Encyclopaedia Britannica,https://www.britannica.com/technology/railroad,0.95,railways;infrastructure
Timeline of the History of Railways,history-of-railways,"A timeline of major milestones in the development of railways, from early wagonways to high-speed and magnetic-levitation rail transport.",technology,9,1863-01-10,day,London Underground begins operation,"The Metropolitan Railway opens in London, creating the world's first underground urban railway.",5,"London, United Kingdom",,Encyclopaedia Britannica,https://www.britannica.com/technology/railroad,0.95,railways;urbanization
Timeline of the History of Railways,history-of-railways,"A timeline of major milestones in the development of railways, from early wagonways to high-speed and magnetic-levitation rail transport.",technology,10,1869-05-10,day,First U.S. transcontinental railroad is completed,The driving of the Golden Spike at Promontory Summit links the American transcontinental railroad system.,5,"Utah, United States",,Encyclopaedia Britannica,https://www.britannica.com/technology/railroad,0.95,railways;infrastructure
